file,类别,修改状态,改动类别,skip官方,skipfork,根因簇谱系,A_结果,A_通过,A_失败,A_耗时s,615b48e95_结果,615b48e95_通过,615b48e95_失败,615b48e95_耗时s,失败集合,根因簇
test/js/bun/resolve/import-custom-condition.test.ts,Bun API,unchanged,,0,0,,PASS,8,0,3.1s,✅,8,0,0.9s,both-pass,
test/js/bun/resolve/import-defer.test.ts,Bun API,unchanged,,0,0,,PASS,20,0,5.8s,✅,20,0,0.8s,both-pass,
test/js/bun/resolve/import-empty.test.js,Bun API,unchanged,,0,0,,PASS,9,0,0.9s,✅,9,0,0.3s,both-pass,
test/js/bun/resolve/import-meta-resolve.test.mjs,Bun API,unchanged,,0,0,,PASS,15,0,0.9s,✅,15,0,0.3s,both-pass,
test/js/bun/resolve/import-meta.test.js,Bun API,unchanged,,0,0,,PASS,32,0,1.0s,✅,32,0,0.4s,both-pass,
test/js/bun/resolve/import-query.test.ts,Bun API,unchanged,,0,0,,PASS,15,0,2.8s,✅,15,0,0.8s,both-pass,
test/js/bun/resolve/json5/json5.test.js,Bun API,unchanged,,0,0,,PASS,4,0,0.6s,✅,4,0,0.3s,both-pass,
test/js/bun/resolve/jsonc.test.ts,Bun API,unchanged,,0,0,,PASS,4,0,1.8s,✅,4,0,0.4s,both-pass,
test/js/bun/resolve/load-file-loader-a-lot.test.ts,Bun API,unchanged,,1,1,,PASS,0,0,0.6s,✅,0,0,0.3s,both-pass,
test/js/bun/resolve/load-same-js-file-a-lot.test.ts,Bun API,modified,ohos-adapted,0,0,,PASS,2,0,7.8s,✅,2,0,6.3s,both-pass,
test/js/bun/resolve/lower-using-bun-target.test.ts,Bun API,unchanged,,0,0,,PASS,11,0,3.1s,✅,11,0,0.9s,both-pass,
test/js/bun/resolve/non-english-import.test.js,Bun API,unchanged,,0,0,,PASS,3,0,1.8s,✅,3,0,0.5s,both-pass,
test/js/bun/resolve/png/test-png-import.test.js,Bun API,unchanged,,0,0,,PASS,1,0,0.6s,✅,1,0,0.3s,both-pass,
test/js/bun/resolve/require-esm-gc-roots.test.ts,Bun API,unchanged,,0,0,,PASS,1,0,12.0s,✅,1,0,1.5s,both-pass,
test/js/bun/resolve/require-esm-microtask-order.test.ts,Bun API,unchanged,,0,0,,PASS,1,0,0.9s,✅,1,0,0.4s,both-pass,
test/js/bun/resolve/require-esm-transitive-tla.test.ts,Bun API,unchanged,,0,0,,PASS,2,0,1.3s,✅,2,0,0.5s,both-pass,
test/js/bun/resolve/require.test.ts,Bun API,unchanged,,0,0,,PASS,11,0,0.9s,✅,11,0,0.5s,both-pass,
test/js/bun/resolve/resolve-autoinstall-invalid-name.test.ts,Bun API,unchanged,,0,0,,PASS,2,0,1.2s,✅,2,0,0.5s,both-pass,
test/js/bun/resolve/resolve-autoinstall-log-dangling.test.ts,Bun API,unchanged,,0,0,,PASS,1,0,0.9s,✅,1,0,0.4s,both-pass,
test/js/bun/resolve/resolve-bad-parent.test.mjs,Bun API,unchanged,,0,0,,PASS,1,0,0.6s,✅,1,0,0.3s,both-pass,
test/js/bun/resolve/resolve-error.test.ts,Bun API,unchanged,,0,0,,PASS,22,0,3.5s,✅,22,0,0.8s,both-pass,
test/js/bun/resolve/resolve-ts.test.ts,Bun API,unchanged,,0,0,,PASS,27,0,8.8s,✅,27,0,2.3s,both-pass,
test/js/bun/resolve/star-export-namespace.test.ts,Bun API,unchanged,,0,0,,PASS,3,0,1.5s,✅,3,0,0.6s,both-pass,
test/js/bun/resolve/toml/crash/toml-crash.test.ts,Bun API,unchanged,,0,0,,PASS,1,0,0.6s,✅,1,0,0.4s,both-pass,
test/js/bun/resolve/toml/toml-parse.test.ts,Bun API,unchanged,,0,0,,PASS,10,0,0.6s,✅,10,0,0.3s,both-pass,
test/js/bun/resolve/toml/toml.test.js,Bun API,unchanged,,0,0,,PASS,12,0,2.0s,✅,12,0,0.7s,both-pass,
test/js/bun/resolve/tsconfig-extends-leak.test.ts,Bun API,unchanged,,1,1,,PASS,1,0,1.0s,✅,1,0,0.4s,both-pass,
test/js/bun/resolve/xml/xml.test.js,Bun API,unchanged,,0,0,,PASS,10,0,0.7s,✅,10,0,0.4s,both-pass,
test/js/bun/resolve/yaml/yaml.test.js,Bun API,unchanged,,0,0,,PASS,5,0,0.6s,✅,5,0,0.3s,both-pass,
test/js/bun/runtime-error.test.ts,Bun API,unchanged,,0,0,,PASS,1,0,0.6s,✅,1,0,0.3s,both-pass,
test/js/bun/s3/s3-argument-validation.test.ts,Bun API,unchanged,,0,0,,PASS,13,0,0.6s,✅,13,0,0.3s,both-pass,
test/js/bun/s3/s3-connection-close.test.ts,Bun API,unchanged,,0,0,,PASS,7,0,2.6s,✅,7,0,0.5s,both-pass,
